wc_user_id;afas_relatie_id
5;30443
6;32690
8;30523
9;30497
11;32593
12;30502
13;30503
17;30516
18;30936
20;30544
24;31149
25;29489
26;30638
27;30639
35;30662
36;30707
42;31151
43;32426
44;31672
45;31350
51;34557
52;30582
53;31012
54;30487
56;30962
58;30975
59;30988
64;31084
66;30588
67;31125
68;31354
70;30499
71;30838
73;31571
74;31085
77;30661
79;32034
84;30491
86;30837
87;30843
89;31351
90;30898
91;33748
93;31491
95;33666
97;31523
101;36428
103;31484
104;31483
106;31519
107;38942
108;37119
109;26658
110;31529
112;31614
113;32182
114;36720
116;32062
117;32289
119;30522
120;34124
123;33077
125;33615
129;33554
130;33567
132;40406
136;36872
146;33530
147;36484
148;34243
151;34229
153;34454
155;29228
161;30501
162;35732
163;35801
164;42102
166;35830
168;38170
174;30711
176;36271
184;31239
186;37646
187;31148
188;37708
190;37837
192;37816
194;37993
198;39588
199;39406
200;39558
203;40507
207;41652
208;38261
94;31490
15;31342
61;31140
2;30632
10;30437
23;30632
28;30507
29;31216
31;30762
32;31355
55;30947
65;30786
96;37603
98;30454
115;31303
131;33229
142;35801
167;35850
173;36592
193;37920
205;40315
210;30978
212;42881
